osm_id,osm_type,capacity,aeroway,building,amenity,layer,surface,railway,parking,public_transport,operator,name,longitude,latitude,geom_type
"2496929451",nodes,,,,parking,,,,surface,,,,106.8466902,47.9159644,POINT
"2497037327",nodes,,,,parking,,,,surface,,,,106.8427144,47.9114725,POINT
"2497037418",nodes,,,,parking,,,,surface,,,,106.8470267,47.9134782,POINT
"2326556993",nodes,,,,parking,,,,,,,,106.8361447,47.8077476,POINT
"1254026977",nodes,,,,bus_station,,,,,,,,106.8555065,47.9044493,POINT
"1255473480",nodes,,,,parking,,,,,,,,106.8843322,47.8944797,POINT
"3911024077",nodes,,,,parking,,,,,,,,106.9223387,47.9298892,POINT
"3891250873",nodes,,,,parking,,,,,,,,106.9230947,47.931049,POINT
"3891251572",nodes,,,,parking,,,,,,,,106.9232925,47.932816,POINT
"3901610776",nodes,,,,parking,,,,,,,,106.9205471,47.9304572,POINT
"3914106411",nodes,,,,parking,,,,,,,машин зогсоол,106.9228775,47.9292714,POINT
"3911011855",nodes,,,,parking,,,,,,,,106.9206801,47.9314137,POINT
"3902611288",nodes,,,,parking,,,,,,,,106.9212768,47.9275171,POINT
"6897791817",nodes,,,,bus_station,,,,,,,Гэмтэл засал,106.8574916,47.9214031,POINT
"2497037371",nodes,,,,parking,,,,surface,,,,106.8395095,47.9124025,POINT
"3895328407",nodes,,,,parking,,,,,,,,106.8536906,47.9133857,POINT
"2497037633",nodes,,,,parking,,,,surface,,,,106.8464114,47.9162513,POINT
"3902506128",nodes,,,,parking,,,,,,,,106.8542605,47.915648,POINT
"2326557103",nodes,,,,parking,,,,,,,chiggisiin khuree,106.8156928,47.8104425,POINT
"7892012434",nodes,,holding_position,,,,,,,,,,106.7574707,47.8510539,POINT
"9060112150",nodes,,holding_position,,,,,,,,,,106.7771886,47.8362506,POINT
"4005707188",nodes,,gate,,,,,,,,,,106.7621909,47.8527086,POINT
"937575831",nodes,,,,parking,,,,surface,,,,106.8222438,47.9107846,POINT
"2497037623",nodes,,,,parking,,,,surface,,,,106.8425364,47.9160483,POINT
"3912982876",nodes,,,,parking,,,,,,,Зогсоол,106.9070598,47.916924,POINT
"1252527705",nodes,,,,parking,,,,,,,,106.9060015,47.9182287,POINT
"478559826",nodes,,,,parking,,,,surface,,,,106.8957592,47.9207624,POINT
"2531826802",nodes,,,,parking,,,,surface,,,,106.9125345,47.9230614,POINT
"2326555073",nodes,,,,parking,,,,,,,,106.8557302,47.8260757,POINT
"1679527635",nodes,,,,parking,,,,,,,,106.9063416,47.8874548,POINT
"2491836507",nodes,,,,parking,,,,surface,,,,106.8804262,47.9269758,POINT
"3930916405",nodes,,,,parking,,,,,,,Авто машины зогсоол,106.8777858,47.9222012,POINT
"3902472672",nodes,,,,parking,,,,,,,,106.8770214,47.9253928,POINT
