station_name,station_id
Цагдаагийн купон,000001600
361 гарам Тамир дэлгүүр,000001603
361 гарам Тамир дэлгүүр,000001602
Баруун түрүүн завсар1,000000851
Баруун түрүүн завсар2,000000854
Оргил худалдааны төв,000001441
19-р сургууль,000000038
5 Шар,000000020
Монгол хюндэй киа компани,000000018
32-р байр,000000011
Хар хорин,000001604
ШАРГА МОРЬТЫН ЭЦЭС-зуслан,000000350
Шарга морьтын 5-р буудал,000001605
Шарга морьтын 4-р буудал,000001607
Шарга морьт 3,000000352
Шарга морьт 2,000000353
Шарга морьт 1,000000349
Жигжидийн уулзвар,000000345
Яргайтын богино,000000342
Яргайтын богино 1,000001264
Яргайт,000000340
Яргайт 1,000001262
100 мод,000000338
Сэтгүүлчдийн төгөл,000001266
Шадивлан,000000335
Шадивлан-1,000001296
Ар согоот,000000333
Салхит,000000331
Салхит завсар-3,000001258
Салхит завсар-2,000001256
Салхит завсар-1,000001254
Замын цагдаагийн пост,000000314
7 БУУДАЛ,000000241
6 буудал,000000243
Оргил супермаркет,000001444
7 Завсар,000000245
5 буудал,000000247
17-р сургууль,000000269
32-ын тойрог,000000267
Ногоон нуур буудал,000000300
4-р дэлгүүр,000000294
Монгол Улсын Их Сургууль,000000307
МУБИС,000000287
Өргөө амаржих газар,000000281
Бөхийн өргөө,000000369
Зүүн 4 зам,000000371
Хавдар судлалын эмнэлэг,000000401
Улаанбаатар их сургууль,000000406
Их монгол хороолол,000001445
Дүнжингарав Худалдааны төв,000000621
Городок,000000881
Городок 1,000001331
Городок 2,000001562
Городок 3,000001563
Городок-4,000000698
Энгэр Шанд,000000920
Налайх дунд 2,000001335
Налайх дунд 1,000001333
НАЛАЙХ,000000476
Соёлын ордон,000000875
Галын буудал,000000873
Содон Төв,000000871
10 ШАР БАЙР,000000477
Офицеруудын ордон,000000379
Эм Ай Ю дээд сургууль,000001401
Чулуун овоо,000000381
Шөнийн дэлгүүр,000000383
Хууль сахиулах их сургууль,000000385
БОТАНИКИЙН ЭЦЭС,000000387
Төмөр замын засварын төв,000000389
Амгалан,000000391
Хангамж,000000393
Баянзүрх ШБ товчоо,000000466
