station_id,latitude,longitude
000001219,47.89231,106.68621
000000946,47.89601,106.69573
000000919,47.92812,106.61941
000000917,47.91542,106.62954
000000849,47.90851,106.62814
000000851,47.90804,106.63675
000000854,47.90245,106.64447
000001586,48.1291,106.62594
000001588,48.12606,106.63665
000001590,48.1249,106.64302
000001592,48.12138,106.64965
000001594,48.10109,106.62037
000001596,48.06376,106.57184
000001598,48.00721,106.55119
000001600,48.0004,106.5491
000001603,48.00323,106.54085
000001602,48.00309,106.54093
100000215,47.76466,107.27215
100000232,47.76651,107.26242
000000871,47.76754,107.24878
000001568,47.76683,107.24377
000001570,47.76941,107.23955
000001571,47.77179,107.23267
000001132,47.77745,107.24113
000000350,48.06906,106.93177
000001605,48.06796,106.92595
000001607,48.06566,106.92189
000000352,48.06214,106.91612
000000353,48.05878,106.90878
000000881,47.78116,107.39184
000001331,47.77729,107.38781
000001562,47.77551,107.37843
000001563,47.77722,107.36995
000000698,47.78034,107.34612
000000920,47.78848,107.25909
000001335,47.78633,107.24955
000001333,47.78165,107.24954
000000476,47.77668,107.25198
000000875,47.77257,107.2537
000000873,47.76991,107.25217
000000477,47.76716,107.24583
000001401,47.9141,106.97512
000000381,47.91228,106.98419
000000383,47.91254,106.98937
000000385,47.91297,106.99748
000000387,47.91195,107.00181
000000389,47.90859,107.00833
000000391,47.90654,107.0146
000000393,47.90329,107.02555
000000466,47.887950000000004,107.07026
000000676,47.88636,107.08159
000000674,47.88422,107.08748
000000469,47.87877,107.09907
000000877,47.87452,107.10531
000000471,47.8709,107.11002
000001425,47.86332,107.12084
000001429,47.85894,107.12725
000000869,47.85049,107.13781
000000474,47.82331,107.17131
000000901,47.79118,107.2172
000001460,47.77015,107.25265
000001461,47.7726,107.25379
000001463,47.77668,107.25254
000001334,47.78248,107.24961
000001336,47.78733,107.2496
000000921,47.788380000000004,107.25949
000001126,47.90826,107.42382
000001136,47.9887,107.458
000001137,47.99039,107.45505
000001139,47.98467,107.43358
000000872,47.76722,107.24846
000000874,47.77022,107.2528
000000876,47.77269,107.25383
000000475,47.77688,107.25136
000001131,47.77744,107.24023
000000902,47.79108,107.2175
000000574,47.78861,106.64226
000001204,47.78666,106.65026
000001202,47.78614,106.66243
000001200,47.785470000000004,106.67163
000001198,47.78615,106.68305
000001196,47.78653,106.6965
000000808,47.79071,106.70879
000000575,47.78196,106.71701
000000569,47.77806,106.72713
000000571,47.77701,106.73465
000000566,47.78871,106.74685
000000936,47.82226,106.76312
000000564,47.82853,106.78402
100000113,47.83483,106.78825
000000524,47.86737,106.8177
000001345,47.75108,106.54387
000001344,47.75215,106.55007
000000490,47.75465,106.56336
000000810,47.75634,106.57312
000001505,47.75823,106.57816
000000491,47.76323,106.59302
000000818,47.76854,106.60142
000000816,47.7764,106.61105
000000846,47.78103,106.61606
000000495,47.78467,106.62006
000000493,47.79272,106.62762
000001390,47.80289,106.63473
000000497,47.80907,106.63938
000001393,47.81473,106.64513
000001389,47.82774,106.6585
000000811,47.83062,106.66161
000001387,47.834,106.66387
000000814,47.83707,106.66771
000000499,47.843,106.67904
000001585,47.84167,106.68364
000001395,47.83981,106.69282
000000501,47.84491,106.73037
000000503,47.85607,106.76553
000000512,47.85614,106.77161
000000510,47.85625,106.77835
000000138,47.85672,106.78332
000000883,48.01798,106.7321
100000022,47.99314,106.71521
100000024,47.96739,106.71226
100000025,47.9538,106.71652
000000663,47.94433,106.71932
000000894,47.93674,106.72344
000000662,47.93183,106.72773
000000660,47.92808,106.7335
000000034,47.92524,106.74032
000000888,47.92071,106.7452
000000890,47.91647,106.74986
000001414,47.91662,106.75431
000001416,47.91777,106.7615
000000079,47.91754,106.77057
000000077,47.91571,106.77343
000000075,47.91371,106.7764
000000072,47.91277,106.7824
000000024,47.910470000000004,106.78749
000000022,47.90955,106.79976
000001448,47.82703,106.6579
100000201,47.95406,106.95025
000001560,47.9513,106.94383
000000364,47.95021,106.93924
000000487,47.94084,106.93181
000000483,47.93523,106.93181
000001431,47.93132,106.93389
000000417,47.92794,106.93897
000000413,47.92355,106.94195
000000401,47.91484,106.94377
000000406,47.91104,106.94343
000001445,47.90647,106.94323
000000773,47.90484,106.93836
000000771,47.90455,106.93121
000000546,47.904560000000004,106.92353
000000544,47.90435,106.91685
000001337,47.9001,106.90897
000000541,47.89913,106.89971
000000539,47.89754,106.88838
000000535,47.8945,106.87959
000000532,47.89555,106.87335
000001464,47.89925,106.86759
000000036,47.93571,106.68255
000000820,47.93055,106.687
000000822,47.92506,106.69163
000000824,47.92105,106.69599
000000826,47.91821,106.70026
000000828,47.914320000000004,106.70607
000000830,47.91151,106.70972
000000832,47.90865,106.71341
000000834,47.90679,106.71969
000000836,47.90581,106.72514
000000838,47.90729,106.73182
000000032,47.910470000000004,106.73532
000000841,47.91178,106.73975
000000847,47.91296,106.74568
000000843,47.91509,106.75069
000000031,47.91228,106.75429
000000029,47.90747,106.76296
000000892,47.90799,106.76908
000000027,47.91038,106.77972
000000148,47.91331,106.85913
000000505,47.86531,106.7631
000000507,47.86039,106.76186
000000509,47.8571,106.76211
