id,trip_id,sequence_number,start_bus_stop,end_bus_stop
324,20,3,000000381,000000383
325,20,4,000000383,000000385
326,20,5,000000385,000000387
327,20,6,000000387,000000389
328,20,7,000000389,000000391
329,20,8,000000391,000000393
330,20,9,000000393,000000466
331,20,10,000000466,000000676
332,20,11,000000676,000000674
333,20,12,000000674,000000469
334,20,13,000000469,000000877
335,20,14,000000877,000000471
336,20,15,000000471,000001425
337,20,16,000001425,000001429
338,20,17,000001429,000000869
339,20,18,000000869,000000474
340,20,19,000000474,000000901
341,20,20,000000901,000001132
342,20,21,000001132,000000476
343,20,22,000000476,000001460
344,20,23,000001460,000001461
345,20,24,000001461,000001463
346,20,25,000001463,000001334
347,20,26,000001334,000001336
348,20,27,000001336,000000921
349,20,28,000000921,000001126
350,20,29,000001126,000001136
351,20,30,000001136,000001137
352,20,31,000001137,000001139
353,21,1,000000477,000000872
354,21,2,000000872,000000874
355,21,3,000000874,000000876
356,21,4,000000876,000000475
357,21,5,000000475,000001131
358,21,6,000001131,000000902
359,21,7,000000902,000000473
360,21,8,000000473,000000870
361,21,9,000000870,000001428
362,21,10,000001428,000001424
363,21,11,000001424,000000470
364,21,12,000000470,000000878
365,21,13,000000878,000000468
366,21,14,000000468,000000673
367,21,15,000000673,000000675
368,21,16,000000675,000000467
369,21,17,000000467,000000394
370,21,18,000000394,000000392
371,21,19,000000392,000000390
372,21,20,000000390,000000388
373,21,21,000000388,000000386
374,21,22,000000386,000000384
375,21,23,000000384,000000382
376,21,24,000000382,000001402
377,21,25,000001402,000000380
378,21,26,000000380,000000379
379,22,1,000000574,000001204
380,22,2,000001204,000001202
381,22,3,000001202,000001200
382,22,4,000001200,000001198
383,22,5,000001198,000001196
384,22,6,000001196,000000808
385,22,7,000000808,000000575
386,22,8,000000575,000000569
387,22,9,000000569,000000571
388,22,10,000000571,000000566
389,22,11,000000566,000000936
390,22,12,000000936,000000564
391,22,13,000000564,100000113
392,22,14,100000113,000000807
393,22,15,000000807,000000627
394,22,16,000000627,000000562
395,22,17,000000562,000000716
396,22,18,000000716,000000519
397,22,19,000000519,000000521
398,22,20,000000521,000000523
399,22,21,000000523,000000524
400,23,1,000001345,000001344
401,23,2,000001344,000000490
402,23,3,000000490,000000810
403,23,4,000000810,000001505
404,23,5,000001505,000000491
405,23,6,000000491,000000818
406,23,7,000000818,000000816
407,23,8,000000816,000000846
408,23,9,000000846,000000495
409,23,10,000000495,000000493
410,23,11,000000493,000001390
411,23,12,000001390,000000497
412,23,13,000000497,000001393
413,23,14,000001393,000001389
414,23,15,000001389,000000811
415,23,16,000000811,000001387
416,23,17,000001387,000000814
417,23,18,000000814,000000499
418,23,19,000000499,000001585
419,23,20,000001585,000001395
420,23,21,000001395,000000501
421,23,22,000000501,000000503
422,23,23,000000503,000000512
423,23,24,000000512,000000510
424,23,25,000000510,000000138
425,23,26,000000138,000000716
426,23,27,000000716,000000519
427,23,28,000000519,000000521
428,23,29,000000521,000000523
429,23,30,000000523,000000524
430,24,1,000000883,100000022
431,24,2,100000022,100000024
432,24,3,100000024,100000025
433,24,4,100000025,000000663
434,24,5,000000663,000000894
435,24,6,000000894,000000662
436,24,7,000000662,000000660
437,24,8,000000660,000000034
438,24,9,000000034,000000888
439,24,10,000000888,000000890
440,24,11,000000890,000001414
441,24,12,000001414,000001416
442,24,13,000001416,000000079
443,24,14,000000079,000000077
444,24,15,000000077,000000075
445,24,16,000000075,000000072
446,24,17,000000072,000000024
447,24,18,000000024,000000022
448,24,19,000000022,000000633
449,24,20,000000633,000000021
450,25,1,000001448,000001389
451,25,2,000001389,000000811
452,25,3,000000811,000001387
453,25,4,000001387,000000814
454,25,5,000000814,000000499
455,25,6,000000499,000001585
456,25,7,000001585,000001395
457,25,8,000001395,000000501
458,25,9,000000501,000000503
459,25,10,000000503,000000512
460,25,11,000000512,000000510
461,25,12,000000510,000000138
462,25,13,000000138,000000716
463,25,14,000000716,000000519
464,25,15,000000519,000000521
465,25,16,000000521,000000523
466,25,17,000000523,000000524
467,26,1,100000201,000001560
468,26,2,000001560,000000364
469,26,3,000000364,000000487
470,26,4,000000487,000000483
471,26,5,000000483,000001431
472,26,6,000001431,000000417
473,26,7,000000417,000000413
474,26,8,000000413,000000401
475,26,9,000000401,000000406
476,26,10,000000406,000001445
477,26,11,000001445,000000773
478,26,12,000000773,000000771
479,26,13,000000771,000000546
480,26,14,000000546,000000544
481,26,15,000000544,000001337
482,26,16,000001337,000000541
