id,trip_id,start,end,sequence,line_id,direction
1,1,100000059,100000057,1,15000000,start
2,1,100000057,100000055,2,15000000,start
3,1,100000055,100000054,3,15000000,start
3,1,100000055,100000054,3,15000000,start
