station_id,station_name
352,Шарга морьт 3
353,Шарга морьт 2
881,Городок
1331,Городок 1
1562,Городок 2
1563,Городок 3
698,Городок-4
920,Энгэр Шанд
1335,Налайх дунд 2
1333,Налайх дунд 1
476,НАЛАЙХ
875,Соёлын ордон
873,Галын буудал
477,10 ШАР БАЙР
1401,Эм Ай Ю дээд сургууль
381,Чулуун овоо
383,Шөнийн дэлгүүр
385,Хууль сахиулах их сургууль
387,БОТАНИКИЙН ЭЦЭС
389,Төмөр замын засварын төв
391,Амгалан
393,Хангамж
466,Баянзүрх ШБ товчоо
676,Хөх Тэнгэр хотхон
674,Налайх МТ ШТС
469,Ногооны зоорь
877,Усан сан
471,Ургах наран хороолол
1425,Чулуутын гүүр
1429,Петровис ШТС
869,Эмийн Ургамал
474,Хонхор Дэнж
901,Оргил Налайх
1460,Галын буудал
1461,Соёлын ордон
1463,Налайх
1334,Налайх дунд 1
1336,Налайх дунд 2
921,Энгэр Шанд
1126,Мэлхий хад
1136,Тэрэлж 6-р хороо
1137,Тэрэлж Усан сан
1139,Шилжрээ
872,Содон Төв
874,Галын буудал
876,Соёлын ордон
475,Налайх
1131,Шинэ налайх хороолол
902,Оргил Налайх
574,Түргэний гол эцэс
1204,Өлзийт 9
1202,Өлзийт 8
1200,Өлзийт 7
1198,Өлзийт 6
1196,Өлзийт 5
808,ХУД 14-р хороо
575,Өлзийтийн 3-р буудал
569,Өлзийтийн 2-р буудал
571,Өлзийтийн 1-р буудал
566,Айдсын даваа
936,Жаргалан ЭКО
564,Яармаг ШБ товчоо
100000113,Үндэсний биеийн тамирын ДС
524,Яармагийн 3-р буудал
1345,Туул тосгон шинэ эцэс
1344,Дундын зогсоол
490,Туул тосгон
810,4-р Хэсэг
1505,Усны аж ахуй
491,Шинэ суурьшил
818,7-р хэсэг
816,Шинэ мах комбинат
846,Дэвшлийн талбай
495,Монос
493,Бетонон гүүрний буудал
1390,Таван толгой
497,Мод үржүүлэг
1393,Мод үржүүлэг
1389,Цэргийн анги
811,Хабитат хороолол
1387,Хабитат 1
814,Цээл
499,Био комбинат
1585,Био завсар
1395,Био дэнж
501,Морингийн даваа
503,Буянт ухаа-1
512,Нисэхийн дэнж
510,ИНЕГ
138,Буянт-ухаа спорт цогцолбор
883,Найрамдал зуслан
100000022,Биг дэлгүүр
100000024,Баянгол дэлгүүр
100000025,Хаадын зам
663,Баянголын ам
894,Орбитын шинэ эцэс
662,Орбит 2
660,Орбит 1
34,Улаан дэлгүүр
888,Зааны төгөл цэцэрлэг
890,Тойрог
1414,Шинэ зам 1
1416,Шинэ зам 2
79,Гүүрний буудал
77,Өрхийн эмнэлэг
75,42-р сургууль
72,Цэргийн хотхон
24,Нефть хотхон
22,10 буудал
1448,190-р цэцэрлэг
100000201,Гадна тойруугийн эцэс
1560,Гадна тойруу 4
364,21-р хороо завсар
487,Дарь эх хуучин эцэс
483,Дарь эх дунд буудал
1431,Хас зах
417,Сансар ШТС
413,Сансарын үйлчилгээний төв
401,Хавдар судлалын эмнэлэг
406,Улаанбаатар их сургууль
1445,Их монгол хороолол
